stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
RgqMpbyP,Charminar,Charminar,17.35867794,78.47402769,CHARMINAR
ZesADyKB,Shahalibanda,Shahalibanda,17.35474993,78.4730244,SHALIBANDA twd  Charminar
CSCQevOc,Kilwat,Kilwat,17.36012747,78.47137494,KILWATH twd Afzalgunj
RcYax5EA,Moosabowli,Moosabowli,17.36427457,78.4666682,MOOSABOWLY twd CBS
UoDW1Rgg,City College,City College,17.36745265,78.46829029,CITY College twd Afzalgunj
s4V6Ks4J,Madina,Madina,17.37037395,78.47559155,MADINA twd Afzalgunj
RvkZZP0d,Afzalgunj,Afzalgunj,17.3734,78.4759,AFZALGUNJ twd Nampally
RprCTGDf,Osmangunj,Osmangunj,17.38015927,78.47498235,OSMANGUNJ twd Nampally
TB1fWaY6,Gandhibavan,Gandhibavan,17.38834566,78.47138823,GANDHI Bhavan twd Nampally
0Yr3hLAU,Nampally Railway Station,Nampally Railway Station,17.39215949,78.47004979,NAMPALLY Railway Station twd Ameerpet
48NXpBnL,Nampally Public Garden,Nampally Public Garden,17.396278,78.470819,NAMPALLY PUBLIC GAROADEN twd Ameerpet
d2BfiTmX,Assembly,Assembly,17.400243,78.470014,ASSEMBLY twd Miyapur
USn7tbeB,Lakdikapool,Lakdikapool,17.403609,78.464974,LAKDIKAPOOL twd Lingampally
FDukZMjs,Chintal Basthi,Chintal Basthi,17.408898,78.460376,CHINTHAL Basthi twd Patancheru
3UhhD7eG,Khairatabad,Khairatabad,17.41416544,78.45863971,KHAIRATABAD twd Patancheru
5g4se2Gv,Khairatabad,Khairatabad,17.415785,78.457715,KHAIRATABAD Rto twd Koti
3OS7bBog,Irram Manzil,Irram Manzil,17.42075297,78.45569725,IRRUM MANZIL TWD Patancheru
fAXfvzII,Nims Hospital,Nims Hospital,17.4230085,78.45438905,NIMS Hospital twd Patancheruvu
YY5SqKbk,Punjagutta,Punjagutta,17.42632288,78.45262886,PUNJAGUTTA twd Patancheru
DqrzaqZu,Pvr Mall Bus Stop,Pvr Mall Bus Stop,17.429381,78.450406,PVR Mall twd Patancheru
8A7oqeuK,Ameerpet,Ameerpet,17.431553,78.44765,AMEERPET twd Patancheru
Z9DjfexL,Maithrivanam,Maithrivanam,17.44004554,78.44236414,MAITRIVANAM twd Patancheru
OCMZCOeo,Sr Nagar,Sr Nagar,17.44296525,78.44073728,SR NAGAR twd Patancheru
C5vY3BnB,Esi Hospital,Esi Hospital,17.448534,78.437619,ESI Hospital twd Patancheruvu
zsjaTD5B,Erragadda,Erragadda,17.45617,78.433778,ERRAGADDA twd Patancheruvu
M2X1Ipi9,Bharath Nagar,Bharath Nagar,17.46723208,78.42877865,BHARATH Nagar twd Patancheru
3DO7lfEx,Moosapet,Moosapet,17.47081311,78.42667579,MOOSAPET twd Patancheru
lRqEgaCy,Prashanth Nagar Bus Station,Prashanth Nagar Bus Station,17.47476399,78.42554926,PRASHANTH NGR twd JBS
7XcsjLgc,Balnagar,Balnagar,17.46787926,78.44608426,BALANAGAR twd Jeedimetla
odvoWxTv,Idpl Water Tank,Idpl Water Tank,17.48172545,78.44902396,IDPL WATER TANK twd jeedimetla
eE6hZh6A,Idpl Colony,Idpl Colony,17.48791105,78.45000699,IDPL Colony twd Jagadgirigutta
m180Kw2G,Ganesh Nagar Chintal,Ganesh Nagar Chintal,17.49089,78.45099,GANESH NAGAR twd Jeedimetla
2mWqvKcq,Chintal,Chintal,17.4954,78.452103,CHINTAL twd Jeedimetla
xmSPBDXm,Quthubullapur X Road,Quthubullapur X Road,17.49889739,78.45175981,QUTHBULLAPUR X RD twd jeedimetla
CSMDq4oC,Hmt,Hmt,17.50284571,78.45028734,HMT twd Gdm
WQorkUId,Gajularam X Road,Gajularam X Road,17.510098,78.447706,GAJULARAM X Road twd Jeedimetla
G1qKP8Cw,Shapur Nagar,Shapur Nagar,17.51600122,78.44690233,SHAPUR NAGAR twd Jeedimetla
U3va4YT2,Rythu Bazar,Rythu Bazar,17.5176101,78.44659121,RYTHUBAZAR-JDM twd  jeedimetla
r2e2nKni,Sub Station-Jeedimetla,Sub Station-Jeedimetla,17.52275733,78.44338618,JEEDIMETLA Substation twd Jeedimetla
cR5ySdRd,Jeedimetla,Jeedimetla,17.52636037,78.44031217,JEEDIMETLA twd Gandimysamma
Tv9yBqAe,Saibaba Nagar,Saibaba Nagar,17.536032,78.434701,SAIBABA NAGAR twd Gandimaisamma
R0Cm6Ou4,Suraram X Road,Suraram X Road,17.54148961,78.43375415,SURARAM X Road twd Bahadurpalle
5E4f69aT,Bahadur Pally X Road,Bahadur Pally X Road,17.56058162,78.43076473,BAHADURPALLY X Road twd Gandimaisamma
o9dJvoaR,Gandimaisamma,Gandimaisamma,17.57507524,78.42319429,GANDIMAISAMMA twd Gagillapur
xOUsyoa9,Mehadipatnam Depot,Mehadipatnam Depot,17.392219,78.440777,MEHDIPATNAM Bus Depot
NUmq3A4e,Mehdipatnam,Mehdipatnam,17.39472518,78.44017263,MEHDIPATNAM
jQUipGEE,Nanal Nagar,Nanal Nagar,17.39512859,78.42734232,NANAL Nagar X Road twd Langarhouse
JDSxM2WM,Langar House,Langar House,17.37843771,78.4209751,LANGAR House twd Kali Mandir
7guxqq8S,Bapu-Ghat,Bapu-Ghat,17.374015,78.417593,Bapu Ghat twd Sedam
832f0Tns,Tippu Khan Bridge,Tippu Khan Bridge,17.37102639,78.40462269,TIPU KHAN BRIDGE twd KaliI Mandir
1dz6Of8P,Suncity,Suncity,17.36476225,78.39571808,SUNCITY twd Chevella
iXcFXrHu,Bandlaguda X Road,Bandlaguda X Road,17.359568,78.38798895,BANDLAGUDA X Road twd Moinabad
VHOGEY4R,Peeram Cheru,Peeram Cheru,17.35449841,78.37902164,PEERAMCHERUVU twd Moinabad
gg1O2ENL,Kalimandir,Kalimandir,17.35233192,78.37701528,KALIMANDIR twd Moinabad
54suq5uU,Appa Junction,Appa Junction,17.35093538,78.3580166,APPA twd Moinabad
qccftrvg,Golden Farms,Golden Farms,17.35369008,78.34210306,GOLDEN FARM twd Moinabad
FLnjOddn,Osman Sagar X Rd,Osman Sagar X Rd,17.35310141,78.33088464,OSMAN Sagar X Road twd Moinabad
BAsXhVXt,Aziz Nagar X Roads,Aziz Nagar X Roads,17.34414051,78.32481623,AZIZ Nagar X Road twd Chevella
T8BKEMqk,Himayathnagar X Road,Himayathnagar X Road,17.33863251,78.31190653,HIMAYAT Nagar X Road twd Moinabad
cVsyEttO,Jbiet College Amdapur X Road Bus Stop,Jbiet College Amdapur X Road Bus Stop,17.33140703,78.29720456,JBIET College twd Chevella
dHLhPczE,Decent Poultry,Decent Poultry,17.33107258,78.29313397,DECENT POULTRIES twd Chevella
zGYSG7bl,Sathsang,Sathsang,17.33002791,78.2801199,SATSANG twd Chevella
4HJn54j9,Moinabad,Moinabad,17.328394,78.272705,MOINABAD twd Sedam
lnjUAaN4,Ayaan College,Ayaan College,17.31438034,78.25669684,AYAAN INSTITUTE OF MEDICAL SCIENCE twd Vikarabad
wlPJRBNI,Kanakamamidi,Kanakamamidi,17.31323061,78.24891776,KANAKAMAMIDI ROAD twd Vikarabad
uCKYOKAS,Kethireddy Pally X Road,Kethireddy Pally X Road,17.31019106,78.22889235,KETHIREDDYPALLY X Road twd Vikarabad
R1auSRjt,Appareddyguda X Road,Appareddyguda X Road,17.31019618,78.223764,APPAREDDYGUDA X Road twd Vikarabad
YXAEgiIa,Tholkatta X Roads,Tholkatta X Roads,17.31345594,78.216919,THOLKATTA X Roads twd Vikarabad
nJkfMg0G,Mudimyal,Mudimyal,17.31947984,78.20895821,MUDIMYAL twd Vikarabad
BugaVeWl,Kandawada X Road,Kandawada X Road,17.30718218,78.18237483,KANDAWADA X ROAD twd Vikarabad
